date,MKT_RF,SMB,HML,RMW,CMA,RF,CPI_YoY,UNRATE,VIX,PMI_proxy_INDPRO_YoY,TERM_SPREAD_10Y2Y,REAL_M2_YoY
1994-12-31,-0.01897920883000004,-0.021809320010000022,-0.02465741906199992,0.010635074559999902,-0.009006530715999883,0.011947121864000154,2.965517241379323,5.9,13.233333333333333,6.156180732641192,1.0,-1.9264068113393762
1995-03-31,0.07805687946000006,-0.04056168727899989,0.013988408467000113,0.006299258105000094,-0.008198090200000063,0.012854597280000046,2.597402597402576,5.5,14.177142857142858,6.925835091579047,0.15,-2.1978210142247767
1995-06-30,0.07929126367999983,0.0055169908099999,0.01346778869599996,0.006098269451000116,-0.01579756959800016,0.014569931671999825,2.7872195785180187,5.4,12.166521739130435,5.7165348260771465,0.4,-2.404128370695424
1995-09-30,0.07784226608,0.019243176560000075,0.009464925783999822,0.000279955174000035,0.0028600383199999246,0.013560800944999896,3.0425963488843744,5.6,11.896818181818183,4.587732144288292,0.42,-1.0171103414487126
1995-12-31,0.034550621216000055,-0.04469922577000007,0.0026751788479999483,-0.0011042658559998753,0.039461498000000095,0.013863446725999706,2.54521098459477,5.6,12.057,4.7816808149161005,0.34,0.7628729350833696
1996-03-31,0.0438684642920002,0.006289710432000106,-0.0017732828600000028,0.018664699903999882,-0.00586952034999999,0.012148815403000057,2.5316455696202667,5.6,11.7485,2.6396897921781903,0.4,1.5340384364783688
1996-06-30,0.03278000306000006,0.041152075729999904,-0.026169084909999918,0.03323987899999992,-0.011815406119999983,0.012854597280000046,2.8439153439153486,5.5,17.76238095238095,3.188414739319012,0.55,2.688182471532352
1996-09-30,0.014868178908000074,-0.026892289116000057,0.01468870089200025,0.03841596739999975,-0.019892590252000186,0.013056371179999804,2.8215223097112663,5.3,16.395,5.110978907668273,0.62,2.013327767794082
1996-12-31,0.053524106250000036,-0.04513362581800007,0.07709578496000002,0.03706405384399991,0.03783173654299987,0.01295547921199991,3.0045721750489918,5.2,16.578,4.952801645891314,0.62,1.1608760527682893
1997-03-31,-0.0077805642880000025,-0.047060855347999975,0.07617840422400013,0.023463842576000093,0.04979553836299999,0.012753745464999744,3.378817413905133,5.4,19.260952380952382,6.165643121709419,0.55,1.7714137823577003
1997-06-30,0.15594609571999984,-0.001318150920000094,-0.027291840000000067,0.02857852313600029,-0.03318731316000001,0.01295518795899997,2.7652733118971096,5.2,20.169999999999998,7.470272474009643,0.47,1.9094734185721274
