,Static - Unconstrained,Static - Beta-neutral,Kalman (RW) - Unconstrained,Kalman (RW) - Beta-neutral,Kalman (MR) - Unconstrained,Kalman (MR) - Beta-neutral,LASSO - Unconstrained,Benchmark (EW) - Unconstrained,LASSO - Beta-neutral,Benchmark (EW) - Beta-neutral
2011-03-31,-0.015147919145788821,-0.017494522730995457,0.04363500240465233,0.023469331154986707,0.04037761125933631,0.019617078876786195,0.04513240259000777,0.017194615251999938,0.023110503395377707,0.0064574266689999505
2011-06-30,0.01823597804921917,0.018772825291555478,-0.00018969504841050838,-0.002601517250849776,0.004521752935203592,0.0036273045487214897,0.014669103188169975,-0.008124423278399939,0.007939502642151042,-0.0097191512029999
2011-09-30,-0.02252281023252332,-0.02901722077410153,-0.0326337704718581,0.00967926910380662,-0.03514678007405383,0.009465314790374543,-0.024718392107293513,-0.041945999075599975,0.02405460754129764,-0.014628809989500002
2011-12-31,0.03907713341132465,0.0008965858297749936,0.0957601554695702,0.04731892373537585,0.09842428475718862,0.045584104992833226,0.07892916365682481,0.03895173299759994,0.009007223368742299,0.019009222834499948
2012-03-31,0.029386711334292555,0.010406586582345903,0.025100267840208933,-0.029683969485822286,0.024438848766737874,-0.03168401179513762,0.013675339399161044,0.019420273824399942,-0.0306999960744035,-0.008432171269500025
2012-06-30,-0.01756881930477937,-0.018293226776723945,0.03714417165105955,0.05121888797781432,0.03991401465248551,0.05355982134799826,0.031722226517674756,0.0031272888849998987,0.04879943058967484,0.012232962876249875
2012-09-30,0.004297946992774358,0.006372350868761348,0.012855305466198265,-0.024026197708320794,0.016401975766161547,-0.02303082794231576,0.012656893737964331,0.012162037659600021,-0.02001430680371238,-0.00022625993000002548
2012-12-31,-0.001997436212808755,-0.0017037192501320117,0.02075950948789753,0.02315792500140778,0.014322178949447366,0.014406145894742227,-0.0067494369710031435,0.01860735919999996,0.0010428793411533868,0.022822833975999948
2013-03-31,-0.039379640776862845,-0.03823395435897019,0.0723689762432567,0.021527398056024872,0.07241183778298485,0.01984519822504675,0.08750609961163788,0.029090765048400045,0.020247427298533637,0.00826043962075005
2013-06-30,0.0027367775336248614,0.004837400667605102,-0.004022007599518585,-0.012740986579068105,-0.0064540498969404185,-0.015699337533453882,-0.015014659241512802,0.01008907333319998,-0.028211307433401694,0.0047091667464999746
2013-09-30,0.015982586130620056,0.01857997908310291,0.007320686752622242,-0.0012670303516742025,0.005974529494168032,-0.003181322224588109,0.014555077215909654,0.007319103046000018,-0.012911543573492553,-0.007505997603749976
2013-12-31,0.007951712670280303,0.02265313421678498,0.07138689491465715,0.017388718845473505,0.07286925037471234,0.01948395654119808,0.08490511913290247,0.029539777818399903,0.01371899725144054,0.0108550549929999
2014-03-31,-0.0241855310479611,-0.02483330328396069,-0.013689516657591988,-0.02322804460476039,-0.014600883535036973,-0.023995433938254686,-0.023570696500807734,0.0025604667784000206,-0.03044304903069115,-0.0009008785169999502
2014-06-30,-0.008206728881825156,-4.898170418085601e-05,0.007007693177862456,-0.02884691219261097,0.008089587375456047,-0.027018001868911706,0.0016828076717929144,0.0027998870048000185,-0.033844849924598526,-0.0077609108349999505
2014-09-30,-0.030726426766018,-0.02324110563680187,-0.004790935290308368,-0.03898506122081386,-0.0012560269340655258,-0.033436917981259445,0.013463198917277236,-0.01742260913179988,-0.01986509124094072,-0.0220840089427499
2014-12-31,0.03771638038087565,0.04254853489144088,0.04572276303204982,0.03988376727528195,0.0413949067083423,0.03366804383146004,0.05955030805316063,0.015475845830199963,0.043256142942904856,0.0066405851077499505
2015-03-31,0.017031399763034867,0.015222591806482905,-0.014176625599513677,-0.006193321797176875,-0.013850207342339584,-0.005841718986532709,0.003952098160772452,-0.009475987759999981,0.0054910673343446445,-0.016192727233499977
2015-06-30,-0.023166834776704448,-0.020763035277551425,-0.037110090427260926,-0.0341770470319871,-0.03492108848402038,-0.030930591585747853,-0.035589780723902405,-0.00689238556479996,-0.029993269885045224,-0.00965963317599995
2015-09-30,-0.0003726913327163177,0.008984625172112286,-0.04818991010306615,-0.04353763938293839,-0.045664984313627505,-0.03980273570899432,-0.059497529354982294,-0.028811977278399944,-0.05224667308342878,-0.01735134191899995
2015-12-31,0.004530381499693637,-0.01716727685007446,0.021585962861532453,-0.016290676603882948,0.024508440492788656,-0.015244117326155757,0.03157503145874155,-0.0019023292927999598,-0.017717715200820015,-0.017463774709749923
2016-03-31,0.1058284925109378,0.08891336000782499,0.09917347262723729,0.08121909404194394,0.10036717374460977,0.0827069471212368,0.094572730563864,0.02754679363359998,0.07316052544896331,0.03258223641449995
2016-06-30,-0.009940654502472383,-0.01859087961704034,0.003106299968179276,-0.006330611728335971,0.004283463814851646,-0.005252909737016483,0.00428932838150871,0.004558301455999961,-0.003751147746219362,-0.000990588531500075
2016-09-30,-0.014205197256518916,-0.013490975931037402,0.0008005748132462638,0.006878460278272738,-0.002598649221080487,0.002164094426974192,0.006071788867235358,0.014495591206799961,0.009295004089366468,0.006291191192999976
2016-12-31,0.04962553953409808,0.03037306887934732,0.0608514129485633,0.03765512404138866,0.05744166765780219,0.03298644690954806,0.027475870478331704,0.060000714487199895,0.014640547822687922,0.0634955068052499
2017-03-31,0.02656854154585315,0.015364109303897276,-0.011533784672803318,-0.05061785513669857,-0.0007337981689420833,-0.03704306272122925,0.030489627109215506,-0.015702201718999942,-0.03454460332152659,-0.03397355234624995
2017-06-30,-0.0017495842407761822,-0.0038726890969230376,-0.00526050228001973,-0.01719143495364596,-0.00714140110601964,-0.020319032029007315,0.015106872155166446,-0.00855594802120008,-0.01632312479042501,-0.018090975368500076
2017-09-30,-0.0196563408904186,-0.02858019402420269,-0.0001678940675189089,-0.01827838629548286,4.3832413563501746e-05,-0.018203779894278356,0.0001567435944636493,0.00692225288460002,-0.026967213868022137,-0.0028590895482499246
2017-12-31,0.042765625877611124,0.015452111301076127,0.05013061342746086,-0.003769940883585645,0.05305427494695105,0.002154715075767753,0.07414013274723961,0.013467522597800003,-0.0043182127986983385,0.0004397379472500743
2018-03-31,-0.032453198950093215,-0.02876375892315049,-0.0343463392302614,-0.023810978414716,-0.036801428431160146,-0.027495708471513114,-0.024663091193828337,-0.01316051446779992,-0.02161027893937209,-0.014815820914749925
2018-06-30,0.041001804536487864,0.045408865161195425,0.007352071274732551,0.02606999206183115,0.0008070768866878476,0.01674734391484662,0.020598720166006265,0.002729347315999959,0.03511808175169002,-0.005168246785750025
2018-09-30,0.024536304011084677,0.009069090895860015,0.038591842399697276,-0.010949778310974432,0.03867218123843436,-0.009915179333358542,0.039230867942322514,-0.00192848002679996,-0.03141613963837503,-0.01949755611349992
2018-12-31,0.003114891436838352,-0.0036671253744073457,-0.04997486865864127,-0.007557739223462534,-0.04477956898610522,-0.00034766397374876024,-0.10106004643210609,-0.032887557221000084,-0.04044319964419653,-0.0035298152812500514
2019-03-31,0.024289158341311817,-0.007116431601801199,0.045507258347017014,-0.021238192477370056,0.05013000937258569,-0.019769965143434185,0.09544529892011752,0.007015725499199982,0.011740562191581823,-0.024476935705999976
2019-06-30,-0.0005740355984305617,-0.008891307256210438,0.018030564544167037,-0.012359282389018207,0.01742095886574613,-0.010822663454523622,0.03350619489089336,0.0011887302208000395,-0.004968460015334068,-0.00736375670499995
2019-09-30,0.004644347032539523,0.0041964034822136904,0.03965902415852898,0.01229537771882688,0.04475957083803693,0.02008178240085865,0.050761975022533684,0.005651646871999999,0.04872347808062911,0.006965652995000024
