,Beta-neutral,Beta-neutral,Beta-neutral,Beta-neutral,Unconstrained,Unconstrained,Unconstrained,Unconstrained,Unconstrained,Benchmark (EW),Benchmark (EW),Benchmark (EW),Benchmark (EW),Benchmark (EW)
,SMB,HML,RMW,CMA,MKT_RF,SMB,HML,RMW,CMA,MKT_RF,SMB,HML,RMW,CMA
date,,,,,,,,,,,,,,
2011-01-31,0.857224383341761,-0.1545893608979799,0.7731029504622743,0.4632123650808879,0.3210824362968731,0.7220049979956223,-0.28289414112741607,1.0640876558124974,0.567358781234413,0.2,0.2,0.2,0.2,0.2
2011-02-28,0.8321966574465107,-0.273046510370329,0.7736166068516883,0.6166579391497232,0.3368208441627923,0.6824105220848736,-0.3942463966656033,1.0828756953234906,0.7256018405191297,0.2,0.2,0.2,0.2,0.2
2011-03-31,0.7961343814141173,-0.23477105083010316,0.8332213799339061,0.7657989058837633,0.37790645530962164,0.6194812077271125,-0.3764404319912868,1.15504275264862,0.8505585798156795,0.2,0.2,0.2,0.2,0.2
2011-04-30,0.8183143933146964,-0.2624264002353738,0.8449539490230892,0.7546118956070824,0.40099564680915056,0.6177316286775201,-0.4171618558232535,1.1689639099484452,0.8293770918827553,0.2,0.2,0.2,0.2,0.2
2011-05-31,0.7924789815119423,-0.24088065692777408,0.8752545321184684,0.7984618396509188,0.37097595133710104,0.6155583961495061,-0.38993940314675013,1.1692333721492931,0.8599361910764006,0.2,0.2,0.2,0.2,0.2
2011-06-30,0.7930426564644939,-0.2702074607606133,0.9080246256591539,0.7752594174909653,0.3835177404610882,0.6053937780308803,-0.4209372722946106,1.203909210213007,0.8378151171613829,0.2,0.2,0.2,0.2,0.2
2011-07-31,0.786625178442439,-0.2631140163270689,0.9366783432605316,0.7739091933913876,0.39548878012615096,0.580461841827194,-0.4154713026308429,1.2305429272484316,0.8409674444308152,0.2,0.2,0.2,0.2,0.2
2011-08-31,0.6864218276449063,0.2966866457041335,0.8872829497967045,0.40241164078297315,0.3133561557025105,0.543458499981933,0.13547399161808332,1.1579066848307242,0.5085845570455738,0.2,0.2,0.2,0.2,0.2
2011-09-30,0.5180621383489371,-1.165089132867609,0.46336461281776353,0.8855148618602797,0.33649435976519415,0.371498930014776,-1.2140919912920547,0.7804324828639282,0.9411506639692958,0.2,0.2,0.2,0.2,0.2
2011-10-31,0.5365235156232363,-1.1645996267836733,0.4587448189883228,0.8561836360439301,0.3336078738836741,0.38904725695158876,-1.2155338054192115,0.7709399742133336,0.9077996734313261,0.2,0.2,0.2,0.2,0.2
2011-11-30,0.6129281967384117,-1.1691777151886926,0.48685922799294934,0.8208398357226385,0.33534032943245257,0.4430234052553179,-1.2112131940622421,0.8071610227051128,0.8922679210247765,0.2,0.2,0.2,0.2,0.2
2011-12-31,0.7770739961372355,-0.3997036887501741,1.0494800006995189,0.9433792397475604,0.24683051096117783,0.6544056904710738,-0.48474429115797657,1.2630969108085546,0.9978956322202197,0.2,0.2,0.2,0.2,0.2
2012-01-31,0.7221737544823598,-0.34678852359325996,1.062404146245652,1.0054501113199559,0.23327713178869247,0.6095045819334789,-0.43052317030096454,1.2655346663854259,1.0547104383442225,0.2,0.2,0.2,0.2,0.2
2012-02-29,0.7644831198171874,-0.2993171273571172,1.0811984333784188,0.9590261470711442,0.2800113927965838,0.6189580355277556,-0.3975365954026329,1.3192713400700853,1.018578949843762,0.2,0.2,0.2,0.2,0.2
2012-03-31,0.7921042055292118,-0.40100671349094097,1.1604736412087981,1.1065615183580246,0.41415115731773033,0.5456088135465599,-0.526743464949515,1.5150962888219837,1.215481017924944,0.2,0.2,0.2,0.2,0.2
2012-04-30,0.6911639578391587,0.11161835976691926,1.1524606519952436,0.867675312376864,0.4250191993178389,0.4501502333865576,-0.0894877196460568,1.514147738356016,1.0079370399367695,0.2,0.2,0.2,0.2,0.2
