,Static - Unconstrained,Static - Unconstrained,Static - Unconstrained,Static - Unconstrained,Static - Unconstrained,Static - Beta-neutral,Static - Beta-neutral,Static - Beta-neutral,Static - Beta-neutral,Kalman - Unconstrained,Kalman - Unconstrained,Kalman - Unconstrained,Kalman - Unconstrained,Kalman - Unconstrained,Kalman - Beta-neutral,Kalman - Beta-neutral,Kalman - Beta-neutral,Kalman - Beta-neutral,LASSO - Unconstrained,LASSO - Unconstrained,LASSO - Unconstrained,LASSO - Unconstrained,LASSO - Unconstrained,Benchmark (EW) - Unconstrained,Benchmark (EW) - Unconstrained,Benchmark (EW) - Unconstrained,Benchmark (EW) - Unconstrained,Benchmark (EW) - Unconstrained,LASSO - Beta-neutral,LASSO - Beta-neutral,LASSO - Beta-neutral,LASSO - Beta-neutral,Benchmark (EW) - Beta-neutral,Benchmark (EW) - Beta-neutral,Benchmark (EW) - Beta-neutral,Benchmark (EW) - Beta-neutral
,MKT_RF,SMB,HML,RMW,CMA,SMB,HML,RMW,CMA,MKT_RF,SMB,HML,RMW,CMA,SMB,HML,RMW,CMA,MKT_RF,SMB,HML,RMW,CMA,MKT_RF,SMB,HML,RMW,CMA,SMB,HML,RMW,CMA,SMB,HML,RMW,CMA
2009-12-31,0.624940848542001,-0.01062953789799542,-0.4966600202436627,0.9741017621102055,0.3236620664130502,0.2859937641472411,-0.39860857933720284,0.934167911602976,-0.4279871754702105,0.5926406261665912,0.06724509202925316,-0.31131443798221387,0.564692841672063,1.1709656714469387,0.36896612078170415,-0.0986239952700992,0.2546747294724473,0.9704227291783024,0.14428210196497163,1.038040852298502,-0.17325833423604067,0.7080685293610162,-0.01752081542073941,0.2,0.2,0.2,0.2,0.2,1.0935276197889847,-0.10670634144172693,0.5684285276143313,-0.06346327294338183,0.25,0.25,0.25,0.25
2010-03-31,0.629909504581504,-0.03051457746196297,0.08096617908654369,0.8134249095209406,-0.08183972837956319,0.25970999803281747,0.5710120598034275,0.6995122075610625,-1.1461783781101345,0.5999662727721136,0.10835976501173944,-0.723833791827313,0.8264524506886884,1.2459803873778863,0.4457606831470535,-0.7744377582033712,0.6941269951237906,1.1031179504445183,0.6120515857509976,0.4353105087558186,-0.49912079333069914,1.071304878324933,-0.11877554427813818,0.2,0.2,0.2,0.2,0.2,0.9604450311461623,-0.36251915560714154,0.8174687146228522,-0.5230429674877479,0.25,0.25,0.25,0.25
2010-06-30,0.5309328847066831,0.165503356822332,-0.20328447635758012,1.035380650622291,0.07078930701251442,0.43709832396864295,0.011339877254878615,0.9427566957239458,-0.571525241075004,0.6246553714838835,0.10762891730355412,-0.4265510900075595,0.6906774238920335,1.1560455800271643,0.4854558913457014,-0.29962170906403324,0.47425289224148937,0.9824431746515652,0.694738035438885,0.42144946959092183,-0.5059397112684789,1.2344471664318892,-0.09003013428044193,0.2,0.2,0.2,0.2,0.2,1.0696185471577158,-0.40063747933737553,0.8704670441278943,-0.38429029416677146,0.25,0.25,0.25,0.25
2010-09-30,0.5821150273040528,0.03644020031467063,0.2197873984014829,0.7661848686002168,-0.08765799657060892,0.29668165241709493,0.734452622272443,0.5774205447615873,-0.9884369880272282,0.5640318861839605,0.21145579646814433,-0.7836094959459218,0.8210273936008826,1.3072571566308313,0.5367258906886779,-0.7909580975590099,0.6537332130309308,1.1399321417316697,0.1622572209311364,1.1290657341166026,-0.6473876871046382,0.8425430694250505,0.07286001515281039,0.2,0.2,0.2,0.2,0.2,1.178752245946197,-0.5820240819437863,0.6694811088057794,0.04689716075352057,0.25,0.25,0.25,0.25
2010-12-31,0.29712873635938475,0.03271552359652294,0.7702795662698609,0.5376866022101805,-0.7944363345524549,0.12528707479513365,0.9637143733026274,0.3699759197430953,-1.1544572141915148,0.5863508833812434,0.18000169198334304,-0.6820719597705753,0.8013577219364117,1.225059042540748,0.5448959656636054,-0.7221727615200642,0.6540738231205732,1.1112554314492116,0.35951409119622635,0.9914722598680987,-0.6784017003149495,1.0478977588838556,0.22751912695513798,0.2,0.2,0.2,0.2,0.2,1.1836332432598895,-0.6069854565552797,0.714876000428208,0.2303781960710006,0.25,0.25,0.25,0.25
2011-03-31,0.11370917573540014,0.09705180602785966,0.8505565870304913,0.5241868916200002,-1.0567652632060671,0.1330369892424237,0.9011889914867212,0.4525153872868443,-1.1647956561052608,0.568668172292672,0.19497869803995305,-0.6099572102721095,0.7112159142771275,1.2595835181833908,0.5650694431190121,-0.6295131026362737,0.5024070806281348,1.2110072655119135,0.6533608818832561,0.45173719273807394,-0.3419812223355041,1.2650641702466732,0.12972246261655943,0.2,0.2,0.2,0.2,0.2,1.0808362712011188,-0.3163394898862159,0.7886043150351465,0.2112006839599637,0.25,0.25,0.25,0.25
2011-06-30,0.01798854398283721,0.18335310887331077,0.8694724634197413,0.4796414114965981,-1.0607930425916459,0.1888888671842452,0.8760109558767559,0.46755648659211646,-1.075932040715811,0.5774016846501162,0.17512594051377586,-0.6399888526979358,0.7552492782523098,1.243898522523746,0.5486163451840262,-0.6847192130027918,0.5673148757666222,1.1999108982414781,0.4671298957368286,0.7861209183141521,-0.35929217261754326,1.231268725279255,0.16860412498320385,0.2,0.2,0.2,0.2,0.2,1.158774864409875,-0.24194480501245766,0.8188494686328255,0.18561874726616984,0.25,0.25,0.25,0.25
2011-09-30,-0.024418777998252168,0.1681320786298102,1.042095415785603,0.1487237387575946,-0.9371473914021404,0.1607736570895125,1.0340924250890846,0.16542139770823677,-0.9175183155483893,0.5853667906969469,0.18292516043743715,-0.6066657244878864,0.9433157467338232,0.9369500679563645,0.571153630525354,-0.6352431932313028,0.8616464575887534,0.7190868475900443,0.519617616233215,0.7854294536579529,-0.46657809434470005,1.2496127649678026,0.15849747478596252,0.2,0.2,0.2,0.2,0.2,1.267003446631309,-0.3840327203290883,0.8434027589346892,0.15563408236182338,0.25,0.25,0.25,0.25
2011-12-31,0.2114323931179121,-0.00752020530259373,1.0023447899537163,0.05190247963030216,-0.6636395554233544,0.064803282674103,1.125766575719927,-0.10281001417427374,-0.8712324449075476,0.5760637281456753,0.09794508892827256,-0.5146928284633471,1.0308945411411503,0.736380620220461,0.44835584590533645,-0.47093505559984494,0.9667444895517543,0.415385519533755,0.4582032888098144,0.7064709133723954,-0.5536447672275743,1.3463026205143873,0.2949827026797609,0.2,0.2,0.2,0.2,0.2,1.0820874298192265,-0.4860569939949504,0.9753420751969244,0.3009368626572194,0.25,0.25,0.25,0.25
2012-03-31,0.08621833121332177,0.05631516997181629,1.0839856984252865,0.10242603775917583,-0.9315327959474105,0.08638102721314218,1.1217378747795668,0.04113351480488626,-1.0055712791900575,0.5903273063129424,0.14923351210605246,-0.37505788193162354,0.8786503499779198,0.845120517821273,0.5767805544476651,-0.27648821681076186,0.7508839869685004,0.6317433999712664,0.355623366776651,0.8405205438449865,-0.2681176311150955,1.2770544317335226,0.10266827504033606,0.2,0.2,0.2,0.2,0.2,1.1102115777914743,-0.17406562375095114,0.9567061532000294,0.09128181961414028,0.25,0.25,0.25,0.25
2012-06-30,-0.06815034522646464,0.25743020869234395,0.9736030042348768,0.2216761363629233,-0.8620699925799571,0.2356919057734764,0.9528058325571925,0.27255340031011205,-0.8112579534682433,0.617593923828899,0.10913163822020887,-0.34796569974150227,0.8550312502663386,0.8322869380452798,0.5662030100979788,-0.22124280496653648,0.7265597746961302,0.6124370070147778,0.5236815071768354,0.7353916097647182,-0.41022105958145183,1.4954448463803331,0.3035038699974141,0.2,0.2,0.2,0.2,0.2,1.2123284381540615,-0.29609655271699664,1.0211684177846336,0.22264481796844018,0.25,0.25,0.25,0.25
2012-09-30,-0.03097494017413904,0.23346342479093724,1.0141923375598678,0.20738292232372735,-0.9425613978638285,0.22334569542609817,1.003635760263561,0.23020782628624578,-0.9184963669520076,0.5786709036391214,0.1397393109622551,-0.6033055376753619,0.8490569598175621,1.1449963130690886,0.5251272008347527,-0.6161976838630677,0.6736491746469628,1.075516266161959,0.41681113166766526,0.6352491191234229,-1.0483376105462419,1.3854924254601935,1.1301952103007458,0.2,0.2,0.2,0.2,0.2,0.9312940893587252,-1.0645536516825322,0.9819698696799958,1.2399345235554808,0.25,0.25,0.25,0.25
2012-12-31,0.10515419518017825,0.24046444143015294,0.7637246039356963,0.5915856257095538,-0.766348409836751,0.27776138966533265,0.8109984357497849,0.5194069552006385,-0.8595777952549545,0.6218428347402822,0.06855912640280944,-0.2926659539097795,0.8095831417283814,0.8721835277192931,0.4865895315069007,-0.1075591257569505,0.62841379489356,0.6612477300365595,0.6770225481345634,0.534282252299656,-0.6173644246338893,1.4309787684246964,0.7976868636030734,0.2,0.2,0.2,0.2,0.2,1.3611474570105533,-0.6113215603602591,1.0323484253049553,1.0597336169561389,0.25,0.25,0.25,0.25
2013-03-31,0.16379180521011794,0.36773987311001644,0.40353698441612934,0.8662782217130491,-0.4760543144602009,0.432252456147303,0.4748411818894513,0.7659981925809042,-0.6236071202831754,0.5995674209301842,0.09463472105483572,-0.37060874982178077,0.7415663855967068,1.0685021571221156,0.4834337206836402,-0.24937693371197941,0.5073731050385006,0.9618697678071818,0.6579812362778608,0.4372879063008606,-0.49111124049950355,1.510506618907008,0.9027972249651858,0.2,0.2,0.2,0.2,0.2,1.2123204310157272,-0.43076272830807616,1.2411141515228727,1.1667910743388064,0.25,0.25,0.25,0.25
2013-06-30,0.09387473958436916,0.370249078562855,0.3832931694188653,0.8857195776096641,-0.5608526486834413,0.40445694411073374,0.419866293683235,0.8227343392188863,-0.638899191170243,0.5930477251085201,0.10888573044621301,-0.5369668957888126,0.7363493949757483,1.2225170801744782,0.4974244525304474,-0.5330049911259548,0.48552700773454,1.2416403425634635,0.6613572342057207,0.4736543430997903,-0.46035476727557456,1.4565724043486232,0.7953867680918827,0.2,0.2,0.2,0.2,0.2,1.2925281241359168,-0.4219840711783136,1.1406947861621966,1.0995406007131538,0.25,0.25,0.25,0.25
2013-09-30,0.15263720484971027,0.41698903255810477,0.11416683979024791,1.0031237853931085,-0.19287138119977024,0.47757756198146784,0.170463733661695,0.909798006086287,-0.3166351645837376,0.6205514514571986,0.11547103580318974,-0.3563616133674384,0.8089066181813109,0.9388635945073421,0.5664023143075583,-0.2498269422328108,0.6215197081653994,0.8143724542008288,0.5912042566912185,0.4969972710371185,-0.19834598511133408,1.7485803735868273,0.5766934627736479,0.2,0.2,0.2,0.2,0.2,1.0846359397702545,-0.01631805992083883,1.4892313011807103,0.6485688507154822,0.25,0.25,0.25,0.25
2013-12-31,0.13037246515109238,0.36946227155640116,0.25652995109532734,0.9222864224926048,-0.20675363744140307,0.4190968434749256,0.3061416597151651,0.8389924020051261,-0.311588890136279,0.6213143081669489,0.2053208053500142,-0.46329206874560486,0.9160741650334835,0.8368007471623974,0.7196680179137102,-0.4341676991683144,0.8024914173893734,0.6275240086365594,0.6346712384538998,0.39313772495821675,-0.19391438343370437,1.8191994108146368,0.4491494473963526,0.2,0.2,0.2,0.2,0.2,1.1316850151056734,-0.07357726534525116,1.526969664127682,0.5730931951592384,0.25,0.25,0.25,0.25
2014-03-31,-0.028909613400210525,0.5000124401256254,0.29676700493397956,0.7838101212296965,-0.24170580186741009,0.4908855242981829,0.2869117149489755,0.805544000062884,-0.21953994349702044,0.6299185346020619,0.12504906077078543,-0.3856514390736975,0.9005795580536395,0.8230095037231283,0.6052973513612139,-0.3033872452198715,0.8025934250960891,0.6138837415081712,0.6200913399971425,0.42818703804485764,-0.6326003303184877,1.5962482570546743,0.8031261278736355,0.2,0.2,0.2,0.2,0.2,1.152993256470868,-0.7827366172124199,1.2456372700045726,1.108281629903603,0.25,0.25,0.25,0.25
2014-06-30,0.1611597763132811,0.4431243415334935,0.04821728140653737,0.9717610787023976,0.08728481768418966,0.5084800965551458,0.10531130632896905,0.8751705219235211,-0.036566155736003,0.643529062606458,0.10327538633648377,-0.2334826373546301,0.8490674505010675,0.6961786984782676,0.6054646734959975,-0.028924066008837786,0.7302546591063004,0.39083341067464145,0.706603224720411,0.16580355902228058,-0.24906035022323444,1.5459913328394066,0.36765804325991763,0.2,0.2,0.2,0.2,0.2,1.2051313648800859,-0.20727597584089305,1.469628194870886,0.5779202172848784,0.25,0.25,0.25,0.25
2014-09-30,0.167617976857753,0.49246943323178133,-0.00402979881750991,0.9169310547974271,0.28117575644768084,0.5615079609742555,0.054840893245124506,0.8156190884229783,0.1558796916349611,0.6511024844464833,0.07145651220811561,-0.23876209886633337,0.9272882524721727,0.574858845141808,0.555366381439366,-0.02979709351189248,0.885219344867504,0.14226123395768078,0.7159649649851341,0.15445495624658487,-0.24242341559969618,1.5126460945962825,0.35146874306011866,0.2,0.2,0.2,0.2,0.2,1.202261017806628,-0.16577940731302376,1.431116003241902,0.5607644451883469,0.25,0.25,0.25,0.25
2014-12-31,0.18730674649278137,0.49501690217930977,0.15196885766283158,0.8133189298420153,0.21585318348165325,0.5736859862414146,0.22307407332731496,0.6989413018525611,0.07367436121558564,0.6699870251406205,-0.013780984741933622,-0.3531954498416375,0.9362314169007574,0.7092424352442734,0.42767296604653493,-0.2573082405225541,0.9407898738093339,0.4021068464493894,0.7232824051686279,0.020583483786902983,-0.3272146009561671,1.4664668507412804,0.6133267676481117,0.2,0.2,0.2,0.2,0.2,0.8451018168843577,-0.3674662841565062,1.3651327730760285,1.2581493937653048,0.25,0.25,0.25,0.25
2015-03-31,0.25195392268445765,0.3444357314927563,0.3714716468736801,0.788315297377661,-0.0197540555873852,0.45315743480902854,0.48287857871886014,0.6415825621506002,-0.2244206353634115,0.6482141390842358,0.12357844145392355,-0.4619351417321086,0.8996013521973072,0.8944573663377383,0.6342351103960667,-0.45779908893245813,0.8063566919501669,0.7494081813594269,0.5807466591482663,0.19998163696463384,-0.8775176055411404,1.2210573991199822,1.1670778411117997,0.2,0.2,0.2,0.2,0.2,0.6553224151452068,-1.0914192446397184,0.6911441901252616,1.5894044763404902,0.25,0.25,0.25,0.25
2015-06-30,0.5096361322986024,-0.02468083966292938,0.35056654039840235,0.7603607682681652,0.1292801526243871,0.19023706468462614,0.6983293446928767,0.5203599514263361,-0.34293584011153677,0.6522628268659509,0.13826917301026814,-0.2835570064439173,0.9740121784625879,0.5047829413286984,0.6636552206106116,-0.11767524931905689,0.9417260818933293,0.019618675158257066,0.5674626778458622,0.3757328550189552,-0.9517229629556478,1.1025455715434522,0.7774933098172239,0.2,0.2,0.2,0.2,0.2,0.8776594211385188,-1.1706387623345869,0.5284988862654215,0.9935494729397037,0.25,0.25,0.25,0.25
2015-09-30,0.6161558782235265,-0.09012297078826302,0.08266158667162316,0.8182199529280223,0.4332395287301783,0.18949328173404065,0.47261000190174807,0.621880417407766,-0.03228893466496648,0.6417188557551465,0.09754112338426638,-0.01619486235047183,0.9281131615622592,0.19447535939393426,0.5600211273628851,0.3491367863895813,0.839908786389561,-0.5004764739749111,0.6350145353487434,-0.16211825603641294,0.3677310873820723,1.505990348204956,-0.03482618236975339,0.2,0.2,0.2,0.2,0.2,0.1690436455726654,0.9086697154426608,1.2194599460820592,-0.16667616228849078,0.25,0.25,0.25,0.25
2015-12-31,0.5905865556491431,0.03617944736501742,0.10045012050472298,0.7274248106490363,0.5173906340001816,0.38141140281340397,0.44947352988589123,0.4677926643972126,0.14708525463084057,0.651234279702633,-0.0015514973407234984,-0.19770604619961407,1.0204554604904228,0.32633863452714196,0.42811308025134687,0.017869529347670964,1.029582027255807,-0.26263490130059897,0.6536440807730685,0.15139901779528706,-0.08144413945545582,1.4094260431059438,-0.80427417616951,0.2,0.2,0.2,0.2,0.2,0.8331104946232388,0.1304043053146688,1.0109304624443,-1.6174686150373179,0.25,0.25,0.25,0.25
2016-03-31,0.6263905762237185,-0.05434052315656345,0.1268850490794753,0.763107874882988,0.41049963172402987,0.281264207595256,0.5517213236102091,0.5261182978903403,-0.059921483587506576,0.6807537330929951,0.009780550220366422,-0.3112728662266156,0.944848529611894,0.6315476406743179,0.5240893299767617,-0.20786232193314533,0.9523008730044954,0.3116402858537318,0.6111374623241265,0.18420843237571274,-0.6795442635518651,1.5792265534108225,0.793532139959653,0.2,0.2,0.2,0.2,0.2,0.7271186949840008,-0.8645130706013319,1.1956281722591116,1.1356647910059596,0.25,0.25,0.25,0.25
2016-06-30,0.7014277093512771,-0.13044502883714532,0.0767228916416674,0.6702977887396523,0.41668123671904134,0.27159750698181234,0.6854630815079823,0.40209550095175944,-0.15957160058375344,0.6422576220784343,0.0016713658011629372,-0.37181305917339585,0.8599129856179253,0.9324680887499983,0.4054533737280994,-0.3209393087695123,0.7204540333073671,0.8801524854139945,0.6060659076787289,-0.14430949213680533,-0.4164326351164644,1.6062428860684388,0.7242624942709496,0.2,0.2,0.2,0.2,0.2,0.2614164760259238,-0.4678370861674094,1.369347879849741,1.1726631596657073,0.25,0.25,0.25,0.25
2016-09-30,0.6872147342102054,-0.0792398829363046,-0.0033767116825256767,0.8152951257570455,0.4187989796790053,0.3448160673471841,0.4378850757192966,0.700149623965647,-0.12092799848990346,0.6480270133580762,0.046639697855612866,-0.48323912824417514,0.7976736760259099,1.0858188820049,0.49507980949175834,-0.5229400943851489,0.6101863464640396,1.1583308270445192,0.5289560902241258,-0.48130137549562435,0.6615058546604637,1.490143018340651,-0.4261608727623269,0.2,0.2,0.2,0.2,0.2,-0.29998387056938774,1.078631913002125,1.1773045083273328,-0.6008664017022647,0.25,0.25,0.25,0.25
2016-12-31,0.6029141072167615,0.04200949571090836,-0.06954399681062874,0.908773394855337,0.5568847501444788,0.392303249577178,0.1731137859012166,0.7596686136424858,0.2280277496115395,0.6555466619194652,0.14994130086809218,-0.36726058447284443,0.8848912507558351,0.8018277101498856,0.6929781758725013,-0.31920708113451907,0.7771329384245803,0.6540230090959541,0.5459185486991512,0.4173951290258894,-0.7709603303930928,1.3559956719205737,0.7455272287602243,0.2,0.2,0.2,0.2,0.2,0.9705942865544499,-0.9219404818133441,1.0284426801826576,1.0574880657630183,0.25,0.25,0.25,0.25
2017-03-31,0.535197268942689,0.11863442208701498,-0.9162627970290874,0.8903363906586118,1.2264925601613021,0.41378845870780073,-1.039454617440675,0.7001510664429988,1.1804520556101665,0.5924221908070696,0.009351302391086825,0.23404437392031593,0.673168214257063,0.360728210403541,0.3247731959103951,0.6254406910470949,0.3873462167431482,-0.0665274443174717,0.5856841527135254,0.3139354546685516,-0.344125015093939,1.6207523588194501,0.41440189453965026,0.2,0.2,0.2,0.2,0.2,0.9294976155251395,-0.349362593113655,1.4528139532021458,0.6494987603566282,0.25,0.25,0.25,0.25
2017-06-30,0.5191122322677845,0.22221120945160852,-0.6070336094254694,0.9155113775339021,1.1650201617230156,0.5305193470959898,-0.6097626548754735,0.731386243915728,1.0789653785564186,0.674582271638297,0.06580828644087844,-0.48272240639727815,0.9414541307543288,0.8390923877524844,0.5753166251476127,-0.5637424322032009,0.9087755135118167,0.737064623569577,0.6042295631634205,0.26743696987075677,-0.3544788199051199,1.6198093153636455,0.3004082380337201,0.2,0.2,0.2,0.2,0.2,0.91734277351168,-0.39638967669769465,1.4832822345742405,0.43491302624336475,0.25,0.25,0.25,0.25
2017-09-30,0.5463429565213281,0.14483654784728406,-0.39552045561021015,0.8485426546005814,1.0905496899629479,0.4573485686582024,-0.329897731184836,0.6410729945077964,0.9937449264390894,0.6818464165772529,0.08288756345796895,-0.29123697316985186,0.9888059646424786,0.5121861060617824,0.62451731696068,-0.18813758455251248,1.0087671539752445,0.09051291807726333,0.6636496641218905,0.23623194254848515,-0.6718801790997497,0.9359710343669799,0.7532535770799879,0.2,0.2,0.2,0.2,0.2,1.097180871251444,-1.0640106907043743,0.2378390543387097,1.3772685680040375,0.25,0.25,0.25,0.25
2017-12-31,0.5585775924300879,0.10842967376158563,-0.5236421177234994,0.9104495573643073,1.1372533237472893,0.4197993247380058,-0.5121693916177233,0.7280316961673514,1.0659865225579113,0.6879113002140593,0.06661087854563273,-0.10106025605507431,0.9189628650344069,0.3857405532745482,0.6044395783678767,0.19489561522929508,0.8742931011865541,-0.16953576869300252,0.5884420545793265,0.4513695658615622,-0.3760235629189908,1.6451126843788477,0.43295557926070355,0.2,0.2,0.2,0.2,0.2,1.1324946066941484,-0.4016878095411102,1.4382452144440006,0.5962984330628565,0.25,0.25,0.25,0.25
2018-03-31,0.4388431230708638,0.2579580351502149,-0.554512466785326,0.6707350963878675,1.4163717901529405,0.48383882553846475,-0.5113589038032638,0.4394890418574408,1.3317644262685404,0.6803075041248962,0.025484856694910445,-0.14471157373129606,0.9804323879203173,0.3706911995490195,0.48921391141310916,0.10845768712173035,0.9944739911971009,-0.21020418750594408,0.6112718515348379,0.38873782345030117,-0.3327939678147801,1.5526805944106057,0.39290305484418614,0.2,0.2,0.2,0.2,0.2,1.0986645954940897,-0.30125669184374976,1.4988597920153348,0.4788279788772445,0.25,0.25,0.25,0.25
2018-06-30,0.4071999084588383,0.2650134223328047,-0.3685106204600848,0.6254530842134889,1.2897858518556324,0.4655499603366402,-0.2916017358978604,0.3995091517631417,1.1773461709791697,0.6733227010169699,0.08799634152933976,-0.12631349023486071,0.9918187272407974,0.23966611138946192,0.5892427330893241,0.13216017568182048,0.9963726756106103,-0.4248454338660266,0.6091521437054237,0.4914553797884306,-0.36857358746870283,1.5216922151478005,0.23037902549483746,0.2,0.2,0.2,0.2,0.2,1.1935248434784451,-0.31562839969415196,1.487000692680197,0.26083044131919864,0.25,0.25,0.25,0.25
2018-09-30,0.3829413116499429,0.18113915413761777,-0.004063160701608197,0.7480294146151315,0.7982273967655226,0.3478242079487719,0.1258080766202119,0.5508551906933468,0.6068714152663346,0.680410567349346,0.18600904252703793,-0.3719887221798288,0.9324114682918451,0.6882903448149226,0.7853150880149063,-0.32695656063054973,0.8922606703345354,0.4158585482241065,0.6195220130174663,0.2837580067248671,-0.6386060759686474,0.20843004211681893,0.668547420390969,0.2,0.2,0.2,0.2,0.2,0.7568524064278439,-0.7390015702372711,-0.813845352104688,1.0444696680225791,0.25,0.25,0.25,0.25
2018-12-31,0.2071342641554915,0.2536635617074224,0.38807084751103016,0.504891283121636,0.4012107332620871,0.330101676154541,0.4630184821903758,0.3752313960742262,0.26804623006755746,0.6920473016565114,0.07913729840971034,-0.4171357945051718,0.9592657680298062,0.7339927690410742,0.6056618599063613,-0.4504906713915225,0.9865322639741213,0.5274709354736637,0.7146529105138814,-0.3293383697390528,-0.8430400327142472,-0.06579097462650813,0.7704458620608781,0.2,0.2,0.2,0.2,0.2,0.07767597591686469,-0.9886842018809313,-1.2212978451674328,1.2239230656115005,0.25,0.25,0.25,0.25
2019-03-31,0.4520008171356783,0.25327547579080495,0.19983116550339391,0.6922180694531389,0.47137449604098713,0.5083650632506288,0.40491906002893124,0.47821828135471917,0.17559850824398723,0.6738202176263258,-0.05362414381281776,-0.4344717122418945,0.8116495441914466,1.0496569675197813,0.3680221929559,-0.4687220718317576,0.7092812873851996,1.098541446938714,0.7788835961117043,-0.3171149454679357,-0.5747606758793118,0.6744403978482116,0.5932902359476047,0.2,0.2,0.2,0.2,0.2,1.0333859628722755,-0.8672416116754905,1.4186570111833767,1.2595815175273708,0.25,0.25,0.25,0.25
2019-06-30,0.4832782388754309,0.006402926299434426,0.41607842044215576,0.578670572532784,0.29002020951799556,0.2328028163099489,0.6991500918217958,0.3317037470362046,-0.08244417357803108,0.6757777508730827,0.06826284344830996,-0.43481511052377914,0.935972973612632,0.7780251621548759,0.6309931595512352,-0.499987817613128,0.9838513270178632,0.5653255443926413,0.8132669119621506,-0.7167980669395404,-0.26405633967403347,0.5580191103124131,0.4652153905267732,0.2,0.2,0.2,0.2,0.2,0.010633141479356952,-0.6846287760854468,1.3246181755194157,1.4050739996277835,0.25,0.25,0.25,0.25
2019-09-30,0.377602283084607,0.14725983171156187,0.4465705929415024,0.4666939604022277,0.3580341881714994,0.3243240915378747,0.6283827613749473,0.2489650042455076,0.09121049562997031,0.6852978754909625,0.0171946818581493,-0.2981136309939007,0.950264937265682,0.6259522001980258,0.5496024845682642,-0.2269564453191505,1.0330241484667297,0.25080560786432077,0.8090477194692142,-0.7264559961531712,-0.2927466426783849,0.5677335895088482,0.5100983017496593,0.2,0.2,0.2,0.2,0.2,-0.3580054986113746,-0.7926656768310809,0.9509912772979354,1.5943267034850082,0.25,0.25,0.25,0.25
2019-12-31,0.5038600866986883,0.18722956496656887,0.2686863864599096,0.5482064303776127,0.49076350665124246,0.4792540256402529,0.5306670708437244,0.2815194286352887,0.15789632354271724,0.6892657834051985,-0.04888012069466711,-0.3450250965011096,0.8561871754321457,0.8950061663403371,0.4125855630146861,-0.32411628837959067,0.8369937014132913,0.811243211235988,0.8069778623321325,-0.4177104470929699,-0.2413252107488182,0.8631661808575721,0.21441930944401744,0.2,0.2,0.2,0.2,0.2,0.4488629147385318,-0.7539140254002605,1.5588022874194716,0.3587132358699597,0.25,0.25,0.25,0.25
2020-03-31,0.41441515127535833,0.21354023588108373,0.3315744098603461,0.5892625848754083,0.4242968397148439,0.4267658513816734,0.5227569641816724,0.3707685152534704,0.14140838817925971,0.6883113996346616,0.041967941435477454,-0.4244193545569786,0.8919521807115514,0.8886655507160724,0.5973352828740646,-0.48800072797238897,0.899857873288862,0.7902789729869171,0.8371309800922865,-0.4298688705573863,-0.2252948674573067,0.8501207520861268,0.16597144397361885,0.2,0.2,0.2,0.2,0.2,0.5167229439922639,-0.8876168014856943,1.4903485740549625,0.2757896401101668,0.25,0.25,0.25,0.25
2020-06-30,0.30884818875382175,-0.11085339160365694,0.856590808526575,0.2632764584702315,-0.5046737287543956,0.01924402301478176,1.0705434580706088,0.07010934163437178,-0.8377846760828805,0.5916709165669434,-0.021357025827881102,-0.9502067745468609,0.8290118911554695,1.2359780448063573,0.3519226008087977,-1.1163913445913585,0.7008765797383912,1.1476220711491945,0.7518109342368096,-0.7982838587075943,-0.680263127294655,0.21931771020273913,0.6584177639890476,0.2,0.2,0.2,0.2,0.2,-0.11587536382058088,-1.0885187654239543,0.24209717839774117,0.9768349435140484,0.25,0.25,0.25,0.25
2020-09-30,0.39963135462523064,-0.4770451327814822,0.8648774333700749,0.16354594007388512,-0.583045106191212,-0.33503120819733934,1.1844468434873998,-0.08169685466229924,-1.09055254979657,0.6339888853345085,-0.011246087653881335,-0.5024222221532143,0.8994375518158991,0.8520129231455822,0.5657983214671602,-0.5500858583530998,1.010767092640593,0.6037794353624817,0.8181591780212354,-1.0945700428709861,-0.42247950700282055,0.11217634102158369,0.4121020204110757,0.2,0.2,0.2,0.2,0.2,0.1279327669843613,-1.0035878598380905,0.8922874404667376,0.5647966833410528,0.25,0.25,0.25,0.25
2020-12-31,0.13753265843674423,-0.2525267995701189,1.0901533114941806,-0.10933757569283518,-0.7218105221714513,-0.1902609858630895,1.1540507286828243,-0.19052988273156077,-0.8528405587657398,0.6109771279446652,-0.01639761799333247,-0.5782756565498913,0.9432581684529778,0.795014589367414,0.48733218546376983,-0.6801858513034131,1.0587461572888512,0.4944161584869272,0.7911581963193443,-1.0256351761759768,-0.4856792714660729,0.10629241566715032,0.6565873526171403,0.2,0.2,0.2,0.2,0.2,0.09344125253570733,-1.0416278759148614,0.9018724344366795,0.9018696506828924,0.25,0.25,0.25,0.25
2021-03-31,0.15183325378596146,-0.41407034138835463,0.9829350690783006,0.20426309327273998,-0.6334556624928218,-0.34893811656646845,1.0535186292332652,0.1208241272884696,-0.7781287707473955,0.6246649231777428,0.11592861376895168,-0.33528295907101513,0.8329298688861667,0.7284640079539986,0.7649204734008371,-0.25181745828678076,0.8849157267531701,0.3708578839812416,0.6474007537488904,-0.6860401300476423,-0.6190094586972585,0.23731476966557713,0.3394507891619145,0.2,0.2,0.2,0.2,0.2,0.062323280484692996,-0.8353031628789045,0.7420880388866417,0.038111869938896904,0.25,0.25,0.25,0.25
