,Static - Unconstrained,Static - Unconstrained,Static - Unconstrained,Static - Unconstrained,Static - Unconstrained,Static - Beta-neutral,Static - Beta-neutral,Static - Beta-neutral,Static - Beta-neutral,Kalman - Unconstrained,Kalman - Unconstrained,Kalman - Unconstrained,Kalman - Unconstrained,Kalman - Unconstrained,Kalman - Beta-neutral,Kalman - Beta-neutral,Kalman - Beta-neutral,Kalman - Beta-neutral,LASSO - Unconstrained,LASSO - Unconstrained,LASSO - Unconstrained,LASSO - Unconstrained,LASSO - Unconstrained,Benchmark (EW) - Unconstrained,Benchmark (EW) - Unconstrained,Benchmark (EW) - Unconstrained,Benchmark (EW) - Unconstrained,Benchmark (EW) - Unconstrained,LASSO - Beta-neutral,LASSO - Beta-neutral,LASSO - Beta-neutral,LASSO - Beta-neutral,Benchmark (EW) - Beta-neutral,Benchmark (EW) - Beta-neutral,Benchmark (EW) - Beta-neutral,Benchmark (EW) - Beta-neutral
,MKT_RF,SMB,HML,RMW,CMA,SMB,HML,RMW,CMA,MKT_RF,SMB,HML,RMW,CMA,SMB,HML,RMW,CMA,MKT_RF,SMB,HML,RMW,CMA,MKT_RF,SMB,HML,RMW,CMA,SMB,HML,RMW,CMA,SMB,HML,RMW,CMA
2007-06-30,0.7000225627137,-0.004286516873251811,0.025780852071747434,0.8035091431897824,0.42819212229014175,0.31633554387750007,0.1952041452251104,0.786599195089062,-0.16730041349816008,0.7541862543700498,0.043589096619138366,-0.01789160678959919,0.5483861012977557,0.7840679256130355,0.5200174164330346,0.15947742528395395,0.35738447698659076,0.4703351722998353,0.5278685132955492,0.19170527288669423,-0.05003988796732862,0.27977427505311525,0.8372577693466007,0.2,0.2,0.2,0.2,0.2,0.43279242695515496,-0.0075799903114386015,-0.10640218235648778,0.871711376163416,0.25,0.25,0.25,0.25
2007-09-30,0.6985393225335195,-0.007902908968732775,0.2024359388473596,0.707964645070937,0.3299999433464965,0.30423586114701223,0.47840181735252807,0.6242372986251654,-0.3229134111442666,0.7608422892089056,0.036775796957455684,-0.16281156055966267,0.6763880712072059,0.8226394412497231,0.5163092394402055,-0.17798857788877015,0.6504235844319074,0.5653266210134673,-0.008692516202385212,-0.016596632254284528,0.5547655989243739,-0.9510672756974963,0.6262244787833793,0.2,0.2,0.2,0.2,0.2,-0.01839064283671359,0.5539297809066825,-0.9447493502154315,0.6291073674923633,0.25,0.25,0.25,0.25
2007-12-31,0.7218798822597812,-0.004986891487762123,0.2177205855584403,0.6350988937110413,0.3698200542711198,0.360373883384747,0.5583691109458685,0.5090518764828481,-0.29620502378606284,0.8042632247719959,-0.09289851796232838,-0.21598254329968827,0.7003697878624705,0.7627519612539537,0.3705814316941989,-0.3442871382975012,0.853578020393949,0.4880395291182661,0.5752956284841716,0.14709819469122684,-0.1337798838703008,0.4397182519452782,0.7883373504799877,0.2,0.2,0.2,0.2,0.2,0.38998118721547975,-0.11007408902938454,0.02030780092186809,0.8980101867331909,0.25,0.25,0.25,0.25
2008-03-31,0.7988541142905614,-0.17444729885042243,0.29772455895816313,0.47996238242548217,0.23032941141337662,0.1401614226532424,1.0995523665478715,0.19982324882360034,-0.9773869109563963,0.7618659741627186,-0.12370687340818892,-0.03977220440728847,0.49120363395566163,0.9028619606919589,0.1986628694656514,0.14074891033785672,0.2243136643546479,0.726418808934046,0.5545286255413047,0.24539881913189476,-0.3206652140935501,0.56314754645754,0.8187451170475584,0.2,0.2,0.2,0.2,0.2,0.5404670939239856,-0.37041337241646843,0.21701783486963813,0.9001895582234293,0.25,0.25,0.25,0.25
2008-06-30,0.8120953631432626,-0.2725275005365195,0.29156134431575964,0.37812456087084145,0.1621441017162786,-0.13153705961598883,1.344400196020486,-0.14330370637436912,-1.465379120061835,0.6949043433912225,-0.10759077064385136,0.02449664909798564,0.3869191566753447,0.9637681415195385,0.16117862308191355,0.1943559217777832,0.047777387033650025,0.7966332615343514,0.2770411016190988,0.5005343691057411,0.3244779213048503,0.7549236268586454,-1.007765843260757,0.2,0.2,0.2,0.2,0.2,0.6168465041501189,0.359976344802392,0.5829726334424403,-1.1361172182711594,0.25,0.25,0.25,0.25
2008-09-30,0.7798079818798986,-0.35623776421288417,0.42012485974799263,0.18026043448623022,0.052024201807373834,-0.34107356648498155,1.3081542029852133,-0.5894094330535385,-1.268399620768551,0.692772992260562,0.015033442449919032,-0.45155895532233775,0.661248717423911,1.228822340884594,0.35732247137119993,-0.6052014123108452,0.49451805309177427,1.2427642183341157,0.18289296621484727,0.4353424187520876,-1.1751552733402044,0.5858514580170332,1.2262977121117835,0.2,0.2,0.2,0.2,0.2,0.5020023771726153,-1.20057522428798,0.46340435214971926,1.2198797162838055,0.25,0.25,0.25,0.25
2008-12-31,0.8201896351010157,-0.3147487199593843,0.1267577339747967,0.26373932927344396,0.3221508720376566,-0.49938700031472194,0.7873198598249949,-0.7605116882124452,-1.0059626850844097,0.6574810524078045,0.026404669856886616,0.14108599676030176,0.4451338035375586,0.7901752897461326,0.3079149856001128,0.283614119519281,0.16261039106474434,0.5728755691488593,0.18231417367393785,0.5670766162505397,-0.17842973759250205,0.8926959567234937,-0.8750256531299592,0.2,0.2,0.2,0.2,0.2,0.6112150938395438,-0.21241492484348495,0.7843566533269836,-0.9011866115519451,0.25,0.25,0.25,0.25
2009-03-31,0.6768510101754771,-0.4879131032085797,0.25642889213763165,0.29019283815575875,-0.21060255668576133,-0.586590238114379,0.762226932476533,-0.22481978814209214,-1.4101376330022402,0.5685310877500913,0.015233637346451931,-0.42754614003971064,0.44800951965654506,1.4313436889543947,0.2245705289154162,-0.4198890904873241,0.14451777781188513,1.368826680527577,0.10901457554619189,0.7901937879703494,-0.3567291960015748,0.4655016093851223,0.583111237133491,0.2,0.2,0.2,0.2,0.2,0.8234881152547484,-0.3284043992235546,0.36865474048238733,0.5618107874071793,0.25,0.25,0.25,0.25
2009-06-30,0.589271114638028,-0.47566473009744353,0.4530838253229143,0.4298970497023273,-0.48956695421216045,-0.48569174976326607,0.9653736159506574,0.09350579368158426,-1.5061331073924513,0.5882709438341674,0.11205312137595827,-0.6480330124382917,0.6936712142106992,1.3766896272487328,0.39433094752666864,-0.6847133637782643,0.4889186000091444,1.2907720191586034,0.12127628508244781,0.8283820718862029,-0.5682917221662582,0.651782618794146,0.7185102722291078,0.2,0.2,0.2,0.2,0.2,0.86435695458423,-0.5265381236643981,0.5402422389826256,0.6915338686645768,0.25,0.25,0.25,0.25
2009-09-30,0.6777800366848703,-0.31695979228357785,0.14596353731645603,0.658023140048141,-0.1236024785151474,-0.25116315357258895,0.7606220443579048,0.4577236131085178,-1.4704530948726848,0.6156969340905565,0.1447219670823172,-0.18207542271863691,0.6876033112835539,0.8778053293837937,0.5108237923617982,0.055878225550269306,0.4831594410949465,0.5066079041595628,0.10682217455789776,1.0248466641203031,-0.5281009281920581,0.6648343979305936,0.5151796806858067,0.2,0.2,0.2,0.2,0.2,1.061783278603394,-0.4844397112561552,0.5664540665405686,0.478734279564826,0.25,0.25,0.25,0.25
